bgcolor,ral_code,name,cmyk_coated,cmyk_uncoated,html_hex,rgb
154889,RAL 5005,Сигнальный синий,"[100, 40, 0, 40]","[90, 60, 0, 0]",#154889,"[21, 72, 137]"
41678D,RAL 5007,Бриллиантово-синий,"[80, 20, 0, 40]","[100, 40, 0, 20]",#41678D,"[65, 103, 141]"
313C48,RAL 5008,Серо-синий,"[60, 0, 0, 90]","[100, 50, 10, 60]",#313C48,"[49, 60, 72]"
2E5978,RAL 5009,Лазурно-синий,"[90, 30, 10, 40]","[100, 40, 10, 20]",#2E5978,"[46, 89, 120]"
13447C,RAL 5010,Горечавково-синий,"[100, 40, 5, 40]","[100, 70, 0, 0]",#13447C,"[19, 68, 124]"
232C3F,RAL 5011,Стально-синий,"[100, 60, 10, 80]","[96, 46, 10, 40]",#232C3F,"[35, 44, 63]"
3481B8,RAL 5012,Голубой,"[90, 30, 10, 10]","[97, 26, 0, 0]",#3481B8,"[52, 129, 184]"
232D53,RAL 5013,Кобальтово-синий,"[100, 60, 0, 60]","[90, 0, 10, 25]",#232D53,"[35, 45, 83]"
6C7C98,RAL 5014,Голубино-синий,"[50, 20, 0, 40]","[64, 41, 11, 12]",#6C7C98,"[108, 124, 152]"
2874B2,RAL 5015,Небесно-синий,"[100, 30, 0, 10]","[100, 20, 0, 0]",#2874B2,"[40, 116, 178]"
0E518D,RAL 5017,Транспортный синий,"[100, 20, 5, 40]","[90, 50, 0, 0]",#0E518D,"[14, 81, 141]"
21888F,RAL 5018,Бирюзово-синий,"[90, 10, 40, 10]","[93, 7, 33, 3]",#21888F,"[33, 136, 143]"
1A5784,RAL 5019,Капри синий,"[100, 50, 20, 10]","[100, 30, 0, 20]",#1A5784,"[26, 87, 132]"
0B4151,RAL 5020,Океанская синь,"[100, 0, 40, 80]","[100, 30, 50, 40]",#0B4151,"[11, 65, 81]"
07737A,RAL 5021,Водная синь,"[100, 20, 50, 10]","[100, 0, 30, 15]",#07737A,"[7, 115, 122]"
2F2A5A,RAL 5022,Ночной синий,"[100, 100, 40, 40]","[90, 0, 10, 25]",#2F2A5A,"[47, 42, 90]"
4D668E,RAL 5023,Отдалённо-синий,"[80, 40, 10, 20]","[100, 60, 10, 0]",#4D668E,"[77, 102, 142]"
