bgcolor,name,value1,value2,value3,value4,hex,r,g,b
93921b,PANTONE 582,25,9,100,39,#93921B,147,146,27
b7be16,PANTONE 583,26,1,100,10,#B7BE16,183,190,22
d0d741,PANTONE 584,21,0,89,0,#D0D741,208,215,65
dddf73,PANTONE 585,14,0,68,0,#DDDF73,221,223,115
e3e385,PANTONE 586,10,0,59,0,#E3E385,227,227,133
e4e597,PANTONE 587,9,0,50,0,#E4E597,228,229,151
f3edaa,PANTONE 600,2,0,39,0,#F3EDAA,243,237,170
efea9b,PANTONE 601,4,0,47,0,#EFEA9B,239,234,155
ede88a,PANTONE 602,5,0,55,0,#EDE88A,237,232,138
ede457,PANTONE 603,6,0,82,0,#EDE457,237,228,87
efe32a,PANTONE 604,5,0,94,0,#EFE32A,239,227,42
e6cf00,PANTONE 605,0,2,100,9,#E6CF00,230,207,0
d9be00,PANTONE 606,0,6,100,16,#D9BE00,217,190,0
f1ecab,PANTONE 607,3,0,34,0,#F1ECAB,241,236,171
eee895,PANTONE 608,5,0,45,0,#EEE895,238,232,149
e9e37b,PANTONE 609,6,0,55,1,#E9E37B,233,227,123
e4d955,PANTONE 610,8,1,74,2,#E4D955,228,217,85
d8cc2d,PANTONE 611,7,1,89,10,#D8CC2D,216,204,45
bca705,PANTONE 613,8,11,100,28,#BCA705,188,167,5
e7e2b1,PANTONE 614,6,2,32,1,#E7E2B1,231,226,177
dfd99f,PANTONE 615,8,3,41,3,#DFD99F,223,217,159
d7ce8c,PANTONE 616,10,5,49,6,#D7CE8C,215,206,140
cdc26c,PANTONE 617,11,6,64,13,#CDC26C,205,194,108
b5a742,PANTONE 618,14,10,85,27,#B5A742,181,167,66
a2942c,PANTONE 619,17,14,93,38,#A2942C,162,148,44
948521,PANTONE 620,17,17,97,48,#948521,148,133,33
d8e2d4,PANTONE 621,12,1,12,2,#D8E2D4,216,226,212
bbd1c2,PANTONE 622,25,2,19,5,#BBD1C2,187,209,194
a2bfaf,PANTONE 623,37,4,26,10,#A2BFAF,162,191,175
87a796,PANTONE 624,48,8,34,20,#87A796,135,167,150
678b7a,PANTONE 625,64,16,45,30,#678B7A,103,139,122
3a6a58,PANTONE 626,80,18,56,54,#3A6A58,58,106,88
203e35,PANTONE 627,93,33,68,85,#203E35,32,62,53
c8e3e2,PANTONE 628,20,0,7,0,#C8E3E2,200,227,226
a5d5dc,PANTONE 629,36,0,9,0,#A5D5DC,165,213,220
87cbd8,PANTONE 630,48,0,10,0,#87CBD8,135,203,216
29b5cf,PANTONE 631,74,0,13,0,#29B5CF,41,181,207
009abb,PANTONE 632,93,2,15,7,#009ABB,0,154,187
007fa3,PANTONE 633,98,6,10,29,#007FA3,0,127,163
006d90,PANTONE 634,100,13,10,41,#006D90,0,109,144
b6dce4,PANTONE 635,30,0,7,0,#B6DCE4,182,220,228
a3d5e3,PANTONE 636,39,0,7,0,#A3D5E3,163,213,227
65c1de,PANTONE 637,62,0,8,0,#65C1DE,101,193,222
00add7,PANTONE 638,86,0,9,0,#00ADD7,0,173,215
0098d0,PANTONE 639,99,1,5,5,#0098D0,0,152,208
0085be,PANTONE 640,100,10,3,16,#0085BE,0,133,190
0077b5,PANTONE 641,100,23,0,19,#0077B5,0,119,181
d6e2eb,PANTONE 642,13,2,1,1,#D6E2EB,214,226,235
c7d9e7,PANTONE 643,20,3,1,2,#C7D9E7,199,217,231
97b8d4,PANTONE 644,42,10,2,6,#97B8D4,151,184,212
79a0c6,PANTONE 645,56,21,2,8,#79A0C6,121,160,198
5588b5,PANTONE 646,72,31,3,12,#5588B5,85,136,181
0d5b90,PANTONE 647,96,54,5,27,#0D5B90,13,91,144
1d3d66,PANTONE 648,100,71,9,56,#1D3D66,29,61,102
dee5ed,PANTONE 649,10,3,1,0,#DEE5ED,222,229,237
cad5e4,PANTONE 650,18,6,1,2,#CAD5E4,202,213,228
a3bad8,PANTONE 651,38,14,1,2,#A3BAD8,163,186,216
759ac4,PANTONE 652,58,26,2,5,#759AC4,117,154,196
235e96,PANTONE 653,94,57,4,18,#235E96,35,94,150
20426c,PANTONE 654,100,71,10,47,#20426C,32,66,108
25355a,PANTONE 655,100,79,12,59,#25355A,37,53,90
dfe8f2,PANTONE 656,10,2,0,0,#DFE8F2,223,232,242
c6d6eb,PANTONE 657,22,6,0,0,#C6D6EB,198,214,235
a9c4e3,PANTONE 658,37,11,0,0,#A9C4E3,169,196,227
7ba0d0,PANTONE 659,59,27,0,0,#7BA0D0,123,160,208
3975b7,PANTONE 660,88,50,0,0,#3975B7,57,117,183
275197,PANTONE 661,100,75,0,6,#275197,39,81,151
303f82,PANTONE 662,100,87,0,20,#303F82,48,63,130
e4dee7,PANTONE 663,3,6,0,2,#E4DEE7,228,222,231
ded7e3,PANTONE 664,5,8,0,3,#DED7E3,222,215,227
c8bfd8,PANTONE 665,17,20,0,1,#C8BFD8,200,191,216
9f94b8,PANTONE 666,36,39,2,5,#9F94B8,159,148,184
746796,PANTONE 667,56,59,4,14,#746796,116,103,150
5c487a,PANTONE 668,70,77,7,23,#5C487A,92,72,122
3d2b5a,PANTONE 669,87,97,8,49,#3D2B5A,61,43,90
edd5e4,PANTONE 670,1,17,0,0,#EDD5E4,237,213,228
e5c3d9,PANTONE 671,3,28,0,0,#E5C3D9,229,195,217
dba5c7,PANTONE 672,6,46,0,0,#DBA5C7,219,165,199
d492bb,PANTONE 673,9,55,0,0,#D492BB,212,146,187
c35899,PANTONE 674,16,83,0,0,#C35899,195,88,153
b11f79,PANTONE 675,18,100,0,8,#B11F79,177,31,121
9f1e54,PANTONE 676,9,100,14,33,#9F1E54,159,30,84
e7d2df,PANTONE 677,1,16,0,2,#E7D2DF,231,210,223
e2c7d9,PANTONE 678,3,23,0,1,#E2C7D9,226,199,217
e3c1d7,PANTONE 679,4,29,0,0,#E3C1D7,227,193,215
cb96b9,PANTONE 680,9,49,0,6,#CB96B9,203,150,185
b973a0,PANTONE 681,16,68,1,9,#B973A0,185,115,160
994879,PANTONE 682,24,86,4,28,#994879,153,72,121
7f2952,PANTONE 683,26,99,12,50,#7F2952,127,41,82
e4cad6,PANTONE 684,3,22,2,1,#E4CAD6,228,202,214
e4bed2,PANTONE 685,0,29,0,4,#E4BED2,228,190,210
d9aac6,PANTONE 686,6,42,1,2,#D9AAC6,217,170,198
c489ab,PANTONE 687,10,55,2,10,#C489AB,196,137,171
b56f97,PANTONE 688,17,68,3,12,#B56F97,181,111,151
923c6c,PANTONE 689,24,89,5,37,#923C6C,146,60,108
642541,PANTONE 690,30,98,13,68,#642541,100,37,65
f0d8d7,PANTONE 691,0,14,5,1,#F0D8D7,240,216,215
e5c1c7,PANTONE 692,2,26,7,2,#E5C1C7,229,193,199
d8a7b4,PANTONE 693,3,39,9,6,#D8A7B4,216,167,180
c98f9c,PANTONE 694,5,50,14,13,#C98F9C,201,143,156
b77783,PANTONE 695,8,60,21,24,#B77783,183,119,131
964b57,PANTONE 696,17,82,42,40,#964B57,150,75,87
8c434c,PANTONE 697,19,85,48,46,#8C434C,140,67,76
f2d7db,PANTONE 698,0,16,4,0,#F2D7DB,242,215,219
eec4ce,PANTONE 699,0,28,5,0,#EEC4CE,238,196,206
ebb1bf,PANTONE 700,0,40,8,0,#EBB1BF,235,177,191
e591a6,PANTONE 701,0,58,13,0,#E591A6,229,145,166
d3697f,PANTONE 702,4,78,30,2,#D3697F,211,105,127
ba4458,PANTONE 703,6,91,53,16,#BA4458,186,68,88
a4303c,PANTONE 704,8,97,76,31,#A4303C,164,48,60
f3e0e3,PANTONE 705,0,11,3,0,#F3E0E3,243,224,227
f0ccd0,PANTONE 706,0,23,7,0,#F0CCD0,240,204,208
ecb8c4,PANTONE 707,0,36,8,0,#ECB8C4,236,184,196
e798a6,PANTONE 708,0,53,17,0,#E798A6,231,152,166
e27a89,PANTONE 709,0,69,29,0,#E27A89,226,122,137
de5a6c,PANTONE 710,0,84,46,0,#DE5A6C,222,90,108
da3248,PANTONE 711,0,97,75,0,#DA3248,218,50,72
f1c39f,PANTONE 713,0,27,40,0,#F1C39F,241,195,159
eeaf7a,PANTONE 714,0,40,59,0,#EEAF7A,238,175,122
e9954b,PANTONE 715,0,54,87,0,#E9954B,233,149,75
e68835,PANTONE 716,0,61,99,0,#E68835,230,136,53
e37a33,PANTONE 717,0,68,100,0,#E37A33,227,122,51
d1692e,PANTONE 718,0,74,100,8,#D1692E,209,105,46
eed0ad,PANTONE 719,0,14,26,1,#EED0AD,238,208,173
e9ba90,PANTONE 720,0,25,38,2,#E9BA90,233,186,144
e2a770,PANTONE 721,0,35,52,4,#E2A770,226,167,112
cb8644,PANTONE 722,2,50,76,13,#CB8644,203,134,68
b9701d,PANTONE 723,6,60,98,20,#B9701D,185,112,29
98561f,PANTONE 724,7,70,100,42,#98561F,152,86,31
81461d,PANTONE 725,9,75,100,55,#81461D,129,70,29
e6c9a5,PANTONE 726,1,15,26,3,#E6C9A5,230,201,165
dcb894,PANTONE 727,2,21,32,6,#DCB894,220,184,148
ca9f75,PANTONE 728,5,32,46,10,#CA9F75,202,159,117
bb854d,PANTONE 729,7,45,66,18,#BB854D,187,133,77
a06932,PANTONE 730,10,55,83,35,#A06932,160,105,50
79491d,PANTONE 731,11,68,100,61,#79491D,121,73,29
6b431c,PANTONE 732,16,69,100,71,#6B431C,107,67,28
f9e49d,PANTONE 1205,0,3,43,0,#F9E49D,249,228,157
f7dc86,PANTONE 1215,0,6,53,0,#F7DC86,247,220,134
f2c150,PANTONE 1225,0,19,79,0,#F2C150,242,193,80
eead1a,PANTONE 1235,0,31,98,0,#EEAD1A,238,173,26
c08f23,PANTONE 1245,6,35,99,18,#C08F23,192,143,35
ac8325,PANTONE 1255,9,35,98,30,#AC8325,172,131,37
907127,PANTONE 1265,14,36,95,46,#907127,144,113,39
f2cb8e,PANTONE 1345,0,17,50,0,#F2CB8E,242,203,142
f1c27a,PANTONE 1355,0,22,60,0,#F1C27A,241,194,122
edae5a,PANTONE 1365,0,34,76,0,#EDAE5A,237,174,90
e99c34,PANTONE 1375,0,45,94,0,#E99C34,233,156,52
d9852d,PANTONE 1385,2,56,100,3,#D9852D,217,133,45
a06928,PANTONE 1395,9,55,100,39,#A06928,160,105,40
745125,PANTONE 1405,20,55,100,60,#745125,116,81,37
efb670,PANTONE 1485,0,34,58,0,#EFB670,239,182,112
eba149,PANTONE 1495,0,46,78,0,#EBA149,235,161,73
e78e2e,PANTONE 1505,0,56,90,0,#E78E2E,231,142,46
cb6423,PANTONE 1525,2,77,100,9,#CB6423,203,100,35
975222,PANTONE 1535,10,75,100,42,#975222,151,82,34
643b1e,PANTONE 1545,20,76,100,70,#643B1E,100,59,30
f0c199,PANTONE 1555,0,26,36,0,#F0C199,240,193,153
ecab77,PANTONE 1565,0,39,51,0,#ECAB77,236,171,119
e89449,PANTONE 1575,0,51,77,0,#E89449,232,148,73
e58426,PANTONE 1585,0,61,97,0,#E58426,229,132,38
da7028,PANTONE 1595,0,71,100,3,#DA7028,218,112,40
a35a24,PANTONE 1605,6,71,100,32,#A35A24,163,90,36
8c4e20,PANTONE 1615,10,72,100,46,#8C4E20,140,78,32
ebab8b,PANTONE 1625,0,41,42,0,#EBAB8B,235,171,139
e8986d,PANTONE 1635,0,51,55,0,#E8986D,232,152,109
e4824a,PANTONE 1645,0,63,75,0,#E4824A,228,130,74
e17025,PANTONE 1655,0,73,98,0,#E17025,225,112,37
df6426,PANTONE 1665,0,79,100,0,#DF6426,223,100,38
a94b26,PANTONE 1675,5,83,100,27,#A94B26,169,75,38
874122,PANTONE 1685,11,82,100,48,#874122,135,65,34
eaacae,PANTONE 1765,0,42,18,0,#EAACAE,234,172,174
edbdc2,PANTONE 1767,0,33,10,0,#EDBDC2,237,189,194
e89fa2,PANTONE 1775,0,49,23,0,#E89FA2,232,159,162
e27e8a,PANTONE 1777,0,66,29,0,#E27E8A,226,126,138
e06966,PANTONE 1785,0,76,54,0,#E06966,224,105,102
dd5b61,PANTONE 1787,0,82,53,0,#DD5B61,221,91,97
de5346,PANTONE 1788,0,88,82,0,#DE5346,222,83,70
d63d36,PANTONE 1795,0,96,93,2,#D63D36,214,61,54
ca3639,PANTONE 1797,2,97,85,7,#CA3639,202,54,57
b4373c,PANTONE 1805,5,96,80,22,#B4373C,180,55,60
a4383d,PANTONE 1807,10,93,71,33,#A4383D,164,56,61
7f2f2d,PANTONE 1815,16,97,86,54,#7F2F2D,127,47,45
683737,PANTONE 1817,30,85,59,70,#683737,104,55,55
edc0d2,PANTONE 1895,0,30,2,0,#EDC0D2,237,192,210
e8a4b8,PANTONE 1905,0,47,9,0,#E8A4B8,232,164,184
e16f8f,PANTONE 1915,0,75,21,0,#E16F8F,225,111,143
db3762,PANTONE 1925,0,97,50,0,#DB3762,219,55,98
cc3057,PANTONE 1935,1,100,55,6,#CC3057,204,48,87
ac2c4a,PANTONE 1945,5,100,55,28,#AC2C4A,172,44,74
922841,PANTONE 1955,9,100,54,43,#922841,146,40,65
f7e586,PANTONE 2001,0,3,48,0,#F7E586,247,229,134
f8e26e,PANTONE 2002,0,4,58,0,#F8E26E,248,226,110
fae448,PANTONE 2003,0,1,70,0,#FAE448,250,228,72
f6db67,PANTONE 2004,0,8,61,0,#F6DB67,246,219,103
f4d168,PANTONE 2005,0,13,60,0,#F4D168,244,209,104
f2c031,PANTONE 2006,0,22,77,0,#F2C031,242,192,49
e9a800,PANTONE 2007,0,33,92,2,#E9A800,233,168,0
f0bc3a,PANTONE 2008,0,25,78,0,#F0BC3A,240,188,58
edac20,PANTONE 2009,0,35,87,0,#EDAC20,237,172,32
eeaa00,PANTONE 2010,0,35,100,0,#EEAA00,238,170,0
ea9a00,PANTONE 2011,0,48,99,0,#EA9A00,234,154,0
eb9d00,PANTONE 2012,0,45,100,0,#EB9D00,235,157,0
eb9c00,PANTONE 2013,0,46,100,0,#EB9C00,235,156,0
b97a07,PANTONE 2014,0,51,100,26,#B97A07,185,122,7
f2d4a8,PANTONE 2015,0,16,32,0,#F2D4A8,242,212,168
edb46a,PANTONE 2016,0,33,57,0,#EDB46A,237,180,106
edb46e,PANTONE 2017,0,34,57,0,#EDB46E,237,180,110
e88d19,PANTONE 2018,0,58,95,0,#E88D19,232,141,25
e17c0f,PANTONE 2019,0,69,100,2,#E17C0F,225,124,15
bb6c17,PANTONE 2020,0,68,100,22,#BB6C17,187,108,23
a3541b,PANTONE 2021,0,80,100,35,#A3541B,163,84,27
ecb086,PANTONE 2022,0,38,44,0,#ECB086,236,176,134
e9a374,PANTONE 2023,0,48,54,0,#E9A374,233,163,116
e68e5e,PANTONE 2024,0,58,65,0,#E68E5E,230,142,94
e99d57,PANTONE 2025,0,50,71,0,#E99D57,233,157,87
e06c42,PANTONE 2027,0,76,75,0,#E06C42,224,108,66
de5722,PANTONE 2028,0,84,98,0,#DE5722,222,87,34
e17662,PANTONE 2029,0,63,49,0,#E17662,225,118,98
df6b5c,PANTONE 2030,0,68,51,0,#DF6B5C,223,107,92
