bgcolor,id,name,cymk,rgb_percentage,hex,rgb_values
1B535D,RAL_210_30_20,RAL 210 30 20,"[81, 37, 39, 49]","[89, 31, 32, 47]",#1B535D,"[27, 83, 93]"
0E515F,RAL_210_30_25,RAL 210 30 25,"[84, 35, 34, 50]","[91, 27, 27, 49]",#0E515F,"[14, 81, 95]"
075062,RAL_210_30_30,RAL 210 30 30,"[87, 32, 30, 52]","[94, 24, 23, 50]",#075062,"[7, 80, 98]"
4C6569,RAL_210_40_10,RAL 210 40 10,"[66, 40, 42, 36]","[68, 38, 37, 33]",#4C6569,"[76, 101, 105]"
3F6770,RAL_210_40_15,RAL 210 40 15,"[70, 36, 37, 35]","[76, 36, 34, 30]",#3F6770,"[63, 103, 112]"
306872,RAL_210_40_20,RAL 210 40 20,"[75, 32, 36, 37]","[82, 33, 34, 29]",#306872,"[48, 104, 114]"
1C6974,RAL_210_40_25,RAL 210 40 25,"[78, 29, 34, 37]","[87, 28, 32, 28]",#1C6974,"[28, 105, 116]"
086879,RAL_210_40_30,RAL 210 40 30,"[82, 25, 29, 38]","[93, 23, 27, 30]",#086879,"[8, 104, 121]"
00677C,RAL_210_40_35,RAL 210 40 35,"[85, 22, 25, 40]","[96, 18, 22, 33]",#00677C,"[0, 103, 124]"
006780,RAL_210_40_38,RAL 210 40 38,"[87, 19, 21, 41]","[96, 18, 18, 33]",#006780,"[0, 103, 128]"
637D83,RAL_210_50_10,RAL 210 50 10,"[58, 33, 35, 24]","[59, 31, 29, 21]",#637D83,"[99, 125, 131]"
597F84,RAL_210_50_15,RAL 210 50 15,"[62, 30, 35, 24]","[64, 28, 31, 19]",#597F84,"[89, 127, 132]"
49808A,RAL_210_50_20,RAL 210 50 20,"[67, 26, 32, 24]","[71, 27, 30, 15]",#49808A,"[73, 128, 138]"
33828D,RAL_210_50_25,RAL 210 50 25,"[72, 22, 31, 24]","[78, 24, 31, 12]",#33828D,"[51, 130, 141]"
218192,RAL_210_50_30,RAL 210 50 30,"[75, 19, 27, 25]","[84, 24, 29, 10]",#218192,"[33, 129, 146]"
158295,RAL_210_50_35,RAL 210 50 35,"[78, 16, 26, 24]","[87, 22, 27, 9]",#158295,"[21, 130, 149]"
03839B,RAL_210_50_40,RAL 210 50 40,"[83, 13, 23, 24]","[93, 17, 24, 9]",#03839B,"[3, 131, 155]"
0083A0,RAL_210_50_45,RAL 210 50 45,"[85, 11, 20, 24]","[95, 15, 21, 11]",#0083A0,"[0, 131, 160]"
7D979D,RAL_210_60_10,RAL 210 60 10,"[51, 25, 29, 15]","[49, 23, 24, 12]",#7D979D,"[125, 151, 157]"
6E989F,RAL_210_60_15,RAL 210 60 15,"[56, 22, 29, 14]","[56, 20, 24, 10]",#6E989F,"[110, 152, 159]"
639DA7,RAL_210_60_20,RAL 210 60 20,"[60, 18, 27, 12]","[61, 17, 24, 7]",#639DA7,"[99, 157, 167]"
539FAC,RAL_210_60_25,RAL 210 60 25,"[64, 14, 25, 11]","[67, 15, 23, 5]",#539FAC,"[83, 159, 172]"
42A0B1,RAL_210_60_30,RAL 210 60 30,"[68, 12, 24, 11]","[71, 14, 22, 2]",#42A0B1,"[66, 160, 177]"
269EB3,RAL_210_60_35,RAL 210 60 35,"[72, 10, 22, 10]","[76, 12, 22, 1]",#269EB3,"[38, 158, 179]"
