bgcolor,name,value1,value2,value3,value4,hex,r,g,b
FFD562,NCS S 0550-Y10R,0,17,72,0,#FFD562,255,213,98
FDC336,NCS S 0560-Y10R,0,25,85,0,#FDC336,253,195,54
FBBB22,NCS S 0570-Y10R,0,29,91,0,#FBBB22,251,187,34
F8AF00,NCS S 0580-Y10R,0,34,100,0,#F8AF00,248,175,0
FDF9EF,NCS S 0804-Y10R,0,1,8,1,#FDF9EF,253,249,239
F9EECB,NCS S 0907-Y10R,0,3,25,3,#F9EECB,249,238,203
F3EACE,NCS S 1005-Y10R,0,3,20,6,#F3EACE,243,234,206
F3E5B4,NCS S 1010-Y10R,0,5,35,5,#F3E5B4,243,229,180
F2E0A8,NCS S 1015-Y10R,0,7,40,5,#F2E0A8,242,224,168
F5E09F,NCS S 1020-Y10R,0,8,45,4,#F5E09F,245,224,159
FADB8A,NCS S 1030-Y10R,0,13,55,2,#FADB8A,250,219,138
FFD566,NCS S 1040-Y10R,0,17,70,0,#FFD566,255,213,102
FFCD4E,NCS S 1050-Y10R,0,20,78,0,#FFCD4E,255,205,78
FBC028,NCS S 1060-Y10R,0,26,90,0,#FBC028,251,192,40
F9BC00,NCS S 1070-Y10R,0,26,98,0,#F9BC00,249,188,0
F8B500,NCS S 1080-Y10R,0,30,100,0,#F8B500,248,181,0
DED4B4,NCS S 1505-Y10R,0,4,25,15,#DED4B4,222,212,180
E8DBAB,NCS S 1510-Y10R,0,5,35,10,#E8DBAB,232,219,171
E7D59F,NCS S 1515-Y10R,0,8,40,10,#E7D59F,231,213,159
CBC1A5,NCS S 2005-Y10R,0,5,25,23,#CBC1A5,203,193,165
C8BD97,NCS S 2010-Y10R,0,6,33,24,#C8BD97,200,189,151
D2BB7D,NCS S 2020-Y10R,0,12,50,18,#D2BB7D,210,187,125
D8B364,NCS S 2030-Y10R,0,20,62,15,#D8B364,216,179,100
E1AF55,NCS S 2040-Y10R,0,27,70,10,#E1AF55,225,175,85
DEA73D,NCS S 2050-Y10R,0,30,80,10,#DEA73D,222,167,61
D19518,NCS S 2060-Y10R,0,35,91,14,#D19518,209,149,24
E19D00,NCS S 2070-Y10R,0,36,100,10,#E19D00,225,157,0
A79973,NCS S 3010-Y10R,0,10,40,38,#A79973,167,153,115
B69F6B,NCS S 3020-Y10R,0,15,50,30,#B69F6B,182,159,107
B49653,NCS S 3030-Y10R,0,20,62,30,#B49653,180,150,83
B08538,NCS S 3040-Y10R,0,30,75,30,#B08538,176,133,56
AF7812,NCS S 3050-Y10R,0,38,90,30,#AF7812,175,120,18
B57E00,NCS S 3060-Y10R,0,37,100,30,#B57E00,181,126,0
968560,NCS S 4010-Y10R,0,15,45,45,#968560,150,133,96
927645,NCS S 4020-Y10R,0,25,60,45,#927645,146,118,69
9C7736,NCS S 4030-Y10R,0,30,72,40,#9C7736,156,119,54
916623,NCS S 4040-Y10R,0,37,80,45,#916623,145,102,35
915C00,NCS S 4050-Y10R,0,43,94,45,#915C00,145,92,0
955F00,NCS S 4055-Y10R,0,44,100,45,#955F00,149,95,0
75684A,NCS S 5010-Y10R,0,15,45,60,#75684A,117,104,74
7F623A,NCS S 5020-Y10R,0,30,60,54,#7F623A,127,98,58
825F2B,NCS S 5030-Y10R,0,35,72,52,#825F2B,130,95,43
714702,NCS S 5040-Y10R,0,43,90,60,#714702,113,71,2
6A5A41,NCS S 6010-Y10R,0,20,45,65,#6A5A41,106,90,65
725330,NCS S 6020-Y10R,0,36,62,60,#725330,114,83,48
53330B,NCS S 6030-Y10R,0,45,82,72,#53330B,83,51,11
5A4833,NCS S 7010-Y10R,0,27,47,72,#5A4833,90,72,51
442900,NCS S 7020-Y10R,0,45,90,79,#442900,68,41,0
2E2112,NCS S 8010-Y10R,0,35,60,90,#2E2112,46,33,18
FFF8E1,NCS S 0505-Y20R,0,2,17,0,#FFF8E1,255,248,225
FFF5D3,NCS S 0507-Y20R,0,3,25,0,#FFF5D3,255,245,211
FFF0BD,NCS S 0510-Y20R,0,5,35,0,#FFF0BD,255,240,189
FFEAB1,NCS S 0515-Y20R,0,8,40,0,#FFEAB1,255,234,177
FFE4A3,NCS S 0520-Y20R,0,11,45,0,#FFE4A3,255,228,163
FFD17A,NCS S 0530-Y20R,0,21,60,0,#FFD17A,255,209,122
FFC05F,NCS S 0540-Y20R,0,30,70,0,#FFC05F,255,192,95
FBB343,NCS S 0550-Y20R,0,35,80,0,#FBB343,251,179,67
F8A622,NCS S 0560-Y20R,0,40,90,0,#F8A622,248,166,34
F49A0A,NCS S 0570-Y20R,0,45,95,0,#F49A0A,244,154,10
F49A00,NCS S 0580-Y20R,0,45,100,0,#F49A00,244,154,0
F49900,NCS S 0585-Y20R,0,45,100,0,#F49900,244,153,0
FFFAEA,NCS S 0603-Y20R,0,1,12,0,#FFFAEA,255,250,234
F4EACC,NCS S 1005-Y20R,0,4,22,5,#F4EACC,244,234,204
F4E7BD,NCS S 1010-Y20R,0,5,30,5,#F4E7BD,244,231,189
FFE7AF,NCS S 1015-Y20R,0,10,40,0,#FFE7AF,255,231,175
FFCB78,NCS S 1030-Y20R,0,25,60,0,#FFCB78,255,203,120
FFCB78,NCS S 1030-Y20R,0,25,60,0,#FFCB78,255,203,120
FFC05E,NCS S 1040-Y20R,0,30,70,0,#FFC05E,255,192,94
FAAC42,NCS S 1050-Y20R,0,39,80,0,#FAAC42,250,172,66
F8A722,NCS S 1060-Y20R,0,40,90,0,#F8A722,248,167,34
F5A300,NCS S 1070-Y20R,0,40,100,0,#F5A300,245,163,0
F49900,NCS S 1080-Y20R,0,45,100,0,#F49900,244,153,0
E4D9B9,NCS S 1505-Y20R,0,5,25,12,#E4D9B9,228,217,185
E7D4A8,NCS S 1510-Y20R,0,10,35,10,#E7D4A8,231,212,168
E7CF9C,NCS S 1515-Y20R,0,12,40,10,#E7CF9C,231,207,156
D4C9AD,NCS S 2005-Y20R,0,6,25,19,#D4C9AD,212,201,173
C9B892,NCS S 2010-Y20R,0,10,35,23,#C9B892,201,184,146
D6B47A,NCS S 2020-Y20R,0,20,50,16,#D6B47A,214,180,122
D6A965,NCS S 2030-Y20R,0,27,60,15,#D6A965,214,169,101
EBAB57,NCS S 2040-Y20R,0,35,70,5,#EBAB57,235,171,87
DB993D,NCS S 2050-Y20R,0,38,80,10,#DB993D,219,153,61
D78921,NCS S 2060-Y20R,0,45,90,10,#D78921,215,137,33
DD8300,NCS S 2070-Y20R,0,50,100,10,#DD8300,221,131,0
A49B81,NCS S 3005-Y20R,0,7,30,40,#A49B81,164,155,129
A69371,NCS S 3010-Y20R,0,15,40,38,#A69371,166,147,113
B59668,NCS S 3020-Y20R,0,22,50,30,#B59668,181,150,104
B0884F,NCS S 3030-Y20R,0,30,62,30,#B0884F,176,136,79
AD7730,NCS S 3040-Y20R,0,40,78,30,#AD7730,173,119,48
B27014,NCS S 3050-Y20R,0,45,90,28,#B27014,178,112,20
AF6600,NCS S 3060-Y20R,0,50,95,30,#AF6600,175,102,0
B36500,NCS S 3065-Y20R,0,52,100,30,#B36500,179,101,0
A45D00,NCS S 3560-Y20R,0,52,100,37,#A45D00,164,93,0
8E846F,NCS S 4005-Y20R,0,10,30,50,#8E846F,142,132,111
957345,NCS S 4020-Y20R,0,30,60,43,#957345,149,115,69
9A6D37,NCS S 4030-Y20R,0,38,70,40,#9A6D37,154,109,55
8F5E22,NCS S 4040-Y20R,0,43,80,45,#8F5E22,143,94,34
